title,link
Project Hail Mary – Stellar Navigation Chart,https://valhovey.github.io/gaia-mary/
valhovey.github.io,from?site=valhovey.github.io
The IBM-ification of Google?,https://zeroshot.bearblog.dev/google-is-shattering-under-its-own-weight-the-ibm-ification-of-google/
zeroshot.bearblog.dev,from?site=zeroshot.bearblog.dev
The memory shortage is causing a repricing of consumer electronics,https://davidoks.blog/p/ai-is-killing-the-cheap-smartphone
davidoks.blog,from?site=davidoks.blog
Using Kagi Search with Low Vision,https://veroniiiica.com/using-kagi-search-with-low-vision/
veroniiiica.com,from?site=veroniiiica.com
Blog ran on Ubuntu 16.04 for 10 years. I migrated it to FreeBSD,https://crocidb.com/post/this-blog-ran-on-ubuntu-16-04-for-10-years-i-migrated-it-to-freebsd/
crocidb.com,from?site=crocidb.com
We're testing new ad formats in Search and expanding our Direct Offers pilot,https://blog.google/products/ads-commerce/google-marketing-live-search-ads/
blog.google,from?site=blog.google
Was my $48K GPU server worth it?,https://rosmine.ai/2026/05/13/was-my-48k-gpu-worth-it/
rosmine.ai,from?site=rosmine.ai
"Uv is fantastic, but its package management UX is a mess",https://www.loopwerk.io/articles/2026/uv-ux-mess/
loopwerk.io,from?site=loopwerk.io
"Show HN: Freenet, a peer-to-peer platform for decentralized apps",https://freenet.org/
freenet.org,from?site=freenet.org
Indexing a year of video locally on a 2021 MacBook with Gemma4-31B (50GB swap),https://blog.simbastack.com/indexed-a-year-of-video-locally/
simbastack.com,from?site=simbastack.com
Spotify will start reserving concert tickets for fans,https://www.hollywoodreporter.com/music/music-industry-news/spotify-will-start-reserving-concert-tickets-for-superfans-1236603106/
hollywoodreporter.com,from?site=hollywoodreporter.com
"Mycorrhizal Fungi, Nature's Key to Plant Survival and Success",https://pacifichorticulture.org/articles/mycorrhizal-fungi-natures-key-to-plant-survival-and-success/
pacifichorticulture.org,from?site=pacifichorticulture.org
Python 3.15: features that didn't make the headlines,https://blog.changs.co.uk/python-315-features-that-didnt-make-the-headlines.html
changs.co.uk,from?site=changs.co.uk
Launch HN: Runtime (YC P26) – Sandboxed coding agents for everyone on a team,https://www.runtm.com/
runtm.com,from?site=runtm.com
"Seattle Shield, an intelligence-sharing network operated by the Seattle police",https://prismreports.org/2026/05/20/seattle-shield-private-companies-surveillance/
prismreports.org,from?site=prismreports.org
Waymo pauses Atlanta service as its robotaxis keep driving into floods,https://techcrunch.com/2026/05/21/waymo-pauses-atlanta-service-as-its-robotaxis-keep-driving-into-floods/
techcrunch.com,from?site=techcrunch.com
Lost Images from the 1945 Trinity Nuclear Test Restored,https://spectrum.ieee.org/trinity-nuclear-test
ieee.org,from?site=ieee.org
Flipper One – we need your help,https://blog.flipper.net/flipper-one-we-need-your-help/
flipper.net,from?site=flipper.net
BBEdit 16,https://www.barebones.com/products/bbedit/bbedit16.html
barebones.com,from?site=barebones.com
Where are all the UK red telephone kiosks?,https://www.thek6project.co.uk/
thek6project.co.uk,from?site=thek6project.co.uk
Google's Antigravity bait and switch,https://www.0xsid.com/blog/antigravity-bait-n-switch
0xsid.com,from?site=0xsid.com
News outlets are limiting the Internet Archive’s access to their journalism,https://www.niemanlab.org/2026/05/more-than-340-local-news-outlets-are-limiting-the-internet-archives-access-to-their-journalism/
niemanlab.org,from?site=niemanlab.org
ParadeDB (YC S23) Is Hiring Distributed Systems/Platform Engineers,item?id=48225852
Mounting git commits as folders with NFS (2023),https://jvns.ca/blog/2023/12/04/mounting-git-commits-as-folders-with-nfs/
jvns.ca,from?site=jvns.ca
Vivaldi 8.0,https://vivaldi.com/blog/vivaldi-on-desktop-8-0/
vivaldi.com,from?site=vivaldi.com
"Show HN: Agent.email – sign up via curl, claim with a human OTP",item?id=48225596
Throwing AI-generated walls of text into conversations,https://noslopgrenade.com/
noslopgrenade.com,from?site=noslopgrenade.com
"Multi-Stream LLMs: new paper on parallelizing/separating prompts, thinking, I/O",https://arxiv.org/abs/2605.12460
arxiv.org,from?site=arxiv.org
Replacing My ISP Router with a UniFi Cloud Gateway Max,https://kevquirk.com/replacing-my-isp-router-with-a-unifi-cloud-gateway-max
kevquirk.com,from?site=kevquirk.com
Show HN: Open-source .docx editor library for building document apps,https://github.com/eigenpal/docx-editor
github.com/eigenpal,from?site=github.com/eigenpal
